manufactor,Year,model,Hand,Gear,capacity_Engine,Engine_type,Prev_ownership,Curr_ownership,Area,City,Price,Pic_num,Cre_date,Repub_date,Description,Color,Km,Test
פורד,2013,פוקוס,3,אוטומטית,1600,בנזין,פרטית,פרטית,קיסריה והסביבה,אור עקיבא,23000.0,7,29/08/2022,02/06/2024,רכב מטופל מצויאן גלגלי מגנזיום משאך מלטי מדיה מוחר הקב חושר שמוש צמיגם חדשים מכיר 20.000,אפור עכבר,178000,259
פורד,2001,GT,6,אוטומטית,6000,דיזל,פרטית,פרטית,אילת והערבה,אילת,1.0,19,20/04/2024,20/04/2024,קראוון כולל רישוי מגורים רכב פורד מוגבה במצב דנדש קראוון מאובזר כולל מערכת סולארית 220 וולט 2 מצברי גל מערכת צבירת חשמל מזגן חזק ועוצמתי ועוד פינוקים מקלחת ושירותים מים חמים מערכת סולארית על הגג,כחול,,
פורד,2013,מונדאו,4,אוטומטית,2000,בנזין,חברה,פרטית,ראש העין והסביבה,אלעד,16500.0,12,31/03/2024,31/03/2024,בסייעתא דשמיא רכב במצב מעולה מכל הבחינות שמור מטופל נקי מסודר הכל פיקס בגז ענק רכב מפנק רחב כסאות חשמליים נסיעה חלקה ונעימה וכמובן הרכב כמו מטוס מנוע 2000 טורבו מצבר חדש בלמים חדשים 2צמיגים חדשים טסט לחצי שנה גמיש לרציניים לא בשבת,אפור מטאלי,136000,108
פורד,2010,פוקוס,3,אוטומטית,1600,בנזין,פרטית,פרטית,נתניה והסביבה,נתניה,14500.0,10,30/03/2024,30/03/2024,"טיימינג חדש, מצבר חדששש, מיכל קירור חדשצמיגים וגאנטים חדשים,תושבת מנוע,כיסוי הגה מעור חדש, מסך Touch חדש, מצלמת רוורס , רכב מצוין מטופל.יש ספר טיפולים. ",כסוף,208000,
פורד,2013,אס-מקס,3,רובוטית,2000,בנזין,פרטית,פרטית,ראש העין והסביבה,אלעד,22000.0,5,26/02/2024,29/02/2024,רכב 7 מקומות מושבים נפרדים תא מטען רחב רכב חזק וחסכוני ומרווח מאוד. ,שחור,127000,
פורד,2021,מוסטנג,1,אוטומטית,5000,בנזין,פרטית,פרטית,nan,בוקעתא,1.0,7,30/01/2024,30/01/2024,"רכב שמור מאוד מטופל בזמן בחברה, ייבוא מקביל דגם הכי מפואר, ללא תאונות ללא תיקוני צבע ללא שיפורים מנוע 5038 460 כ״ס. אחריות שנתיים על מנוע וגיר, נהג יחיד שומר מאוד יש מלא תוספות על האוטו לעוד פרטים תתקשרו",אפור עכבר,34000,
פורד,2010,פוקוס,4,אוטומטית,1600,בנזין,פרטית,פרטית,ירושלים והסביבה,ירושלים,11000.0,2,30/01/2024,30/01/2024,"פורד פוקוס סטיישן, נפח מנוע 1.6רכב במצב מעולה, מרווח ונוח מאוד לנסיעה, פגז ענק,עבר טיפול מורחב לאחרונה,כל הקודם זוכה,מחיר גמיש לרציניים,לא בשבת.",בז',238000,
פורד,2013,פוקוס,3,רובוטית,1600,בנזין,פרטית,פרטית,חיפה וחוף הכרמל,חיפה,15000.0,4,14/01/2024,14/01/2024,"רכב במצב טוב,מתופל במוסך מורשה, טסט עד 01.2025,גלגלי מגנזיום חדשים, צמיגים חדשים.",לבן,199000,
פורד,2014,פוקוס,3,אוטומטית,1600,בנזין,פרטית,פרטית,פרדס חנה - כרכור,חריש,15000.0,5,26/11/2023,26/11/2023,"רכב במצב טוב, הוחלף גיר שעבר 200000 ק""מ.",כסוף,220000,
פורד,2012,פוקוס,2,אוטומטית,1600,בנזין,פרטית,פרטית,ירושלים והסביבה,ירושלים,12000.0,18,23/11/2023,23/11/2023,רכב מתוחזק - אחרי טיפול וטסט. הוהחלף קלאץ לאחרונה - תחת אחריות.הוחלפה משאבת דלק לפני שנה . בלמים הוחלפו בעקבות הטיפול.כדאי להתרשם.גמישות במחיר . מוכן לממן בדיקת קניה לקונה רציני.,כסוף מטאלי,179000,169
